"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 1)","normal+(0, 3)",0.549722222222222
"normal(0, 1)","normal+(0, 5)",0.359166666666667
"normal(0, 1)","normal+(0, 10)",0.536944444444444
"normal(0, 1.5)","normal+(0, 3)",0.574444444444444
"normal(0, 1.5)","normal+(0, 5)",0.506388888888889
"normal(0, 1.5)","normal+(0, 10)",0.352777777777778
"normal(0, 2)","normal+(0, 3)",0.315555555555556
"normal(0, 2)","normal+(0, 5)",0.543611111111111
"normal(0, 2)","normal+(0, 10)",0.496944444444444
"normal(0, 1)","normal+(0, 3)",0.545277777777778
"normal(0, 1)","normal+(0, 5)",0.547222222222222
"normal(0, 1)","normal+(0, 10)",0.555555555555556
"normal(0, 1.5)","normal+(0, 3)",0.664444444444444
"normal(0, 1.5)","normal+(0, 5)",0.5475
"normal(0, 1.5)","normal+(0, 10)",0.470833333333333
"normal(0, 2)","normal+(0, 3)",0.524166666666667
"normal(0, 2)","normal+(0, 5)",0.486111111111111
"normal(0, 2)","normal+(0, 10)",0.554166666666667
"normal(0, 1)","normal+(0, 3)",0.463888888888889
"normal(0, 1)","normal+(0, 5)",0.358888888888889
"normal(0, 1)","normal+(0, 10)",0.546111111111111
"normal(0, 1.5)","normal+(0, 3)",0.461388888888889
"normal(0, 1.5)","normal+(0, 5)",0.489166666666667
"normal(0, 1.5)","normal+(0, 10)",0.461666666666667
"normal(0, 2)","normal+(0, 3)",0.569166666666667
"normal(0, 2)","normal+(0, 5)",0.549722222222222
"normal(0, 2)","normal+(0, 10)",0.515
"normal(0, 1)","normal+(0, 3)",0.491111111111111
"normal(0, 1)","normal+(0, 5)",0.495555555555556
"normal(0, 1)","normal+(0, 10)",0.447777777777778
"normal(0, 1.5)","normal+(0, 3)",0.557777777777778
"normal(0, 1.5)","normal+(0, 5)",0.645
"normal(0, 1.5)","normal+(0, 10)",0.536111111111111
"normal(0, 2)","normal+(0, 3)",0.608333333333333
"normal(0, 2)","normal+(0, 5)",0.550277777777778
"normal(0, 2)","normal+(0, 10)",0.555
"normal(0, 1)","normal+(0, 3)",0.246944444444444
"normal(0, 1)","normal+(0, 5)",0.585833333333333
"normal(0, 1)","normal+(0, 10)",0.588611111111111
"normal(0, 1.5)","normal+(0, 3)",0.388055555555556
"normal(0, 1.5)","normal+(0, 5)",0.454444444444444
"normal(0, 1.5)","normal+(0, 10)",0.544722222222222
"normal(0, 2)","normal+(0, 3)",0.498333333333333
"normal(0, 2)","normal+(0, 5)",0.49
"normal(0, 2)","normal+(0, 10)",0.4525
"normal(0, 1)","normal+(0, 3)",0.242777777777778
"normal(0, 1)","normal+(0, 5)",0.549166666666667
"normal(0, 1)","normal+(0, 10)",0.479444444444444
"normal(0, 1.5)","normal+(0, 3)",0.328333333333333
"normal(0, 1.5)","normal+(0, 5)",0.548888888888889
"normal(0, 1.5)","normal+(0, 10)",0.562222222222222
"normal(0, 2)","normal+(0, 3)",0.504166666666667
"normal(0, 2)","normal+(0, 5)",0.623333333333333
"normal(0, 2)","normal+(0, 10)",0.322777777777778
"normal(0, 1)","normal+(0, 3)",0.611111111111111
"normal(0, 1)","normal+(0, 5)",0.495
"normal(0, 1)","normal+(0, 10)",0.558055555555556
"normal(0, 1.5)","normal+(0, 3)",0.516388888888889
"normal(0, 1.5)","normal+(0, 5)",0.441388888888889
"normal(0, 1.5)","normal+(0, 10)",0.556111111111111
"normal(0, 2)","normal+(0, 3)",0.498055555555556
"normal(0, 2)","normal+(0, 5)",0.424722222222222
"normal(0, 2)","normal+(0, 10)",0.547777777777778
"normal(0, 1)","normal+(0, 3)",0.511944444444444
"normal(0, 1)","normal+(0, 5)",0.5075
"normal(0, 1)","normal+(0, 10)",0.428611111111111
"normal(0, 1.5)","normal+(0, 3)",0.625833333333333
"normal(0, 1.5)","normal+(0, 5)",0.661944444444444
"normal(0, 1.5)","normal+(0, 10)",0.475277777777778
"normal(0, 2)","normal+(0, 3)",0.454166666666667
"normal(0, 2)","normal+(0, 5)",0.631944444444444
"normal(0, 2)","normal+(0, 10)",0.606388888888889
"normal(0, 1)","normal+(0, 3)",0.477222222222222
"normal(0, 1)","normal+(0, 5)",0.472777777777778
"normal(0, 1)","normal+(0, 10)",0.521388888888889
"normal(0, 1.5)","normal+(0, 3)",0.487222222222222
"normal(0, 1.5)","normal+(0, 5)",0.424722222222222
"normal(0, 1.5)","normal+(0, 10)",0.537222222222222
"normal(0, 2)","normal+(0, 3)",0.439166666666667
"normal(0, 2)","normal+(0, 5)",0.433888888888889
"normal(0, 2)","normal+(0, 10)",0.37
"normal(0, 1)","normal+(0, 3)",0.225277777777778
"normal(0, 1)","normal+(0, 5)",0.659444444444444
"normal(0, 1)","normal+(0, 10)",0.501111111111111
"normal(0, 1.5)","normal+(0, 3)",0.528333333333333
"normal(0, 1.5)","normal+(0, 5)",0.378888888888889
"normal(0, 1.5)","normal+(0, 10)",0.442222222222222
"normal(0, 2)","normal+(0, 3)",0.456666666666667
"normal(0, 2)","normal+(0, 5)",0.575555555555556
"normal(0, 2)","normal+(0, 10)",0.582222222222222
"normal(0, 1)","normal+(0, 3)",0.439166666666667
"normal(0, 1)","normal+(0, 5)",0.512222222222222
"normal(0, 1)","normal+(0, 10)",0.443611111111111
"normal(0, 1.5)","normal+(0, 3)",0.498055555555556
"normal(0, 1.5)","normal+(0, 5)",0.418611111111111
"normal(0, 1.5)","normal+(0, 10)",0.458055555555556
"normal(0, 2)","normal+(0, 3)",0.720277777777778
"normal(0, 2)","normal+(0, 5)",0.490833333333333
"normal(0, 2)","normal+(0, 10)",0.658333333333333
"normal(0, 1)","normal+(0, 3)",0.411111111111111
"normal(0, 1)","normal+(0, 5)",0.475277777777778
"normal(0, 1)","normal+(0, 10)",0.486388888888889
"normal(0, 1.5)","normal+(0, 3)",0.440833333333333
"normal(0, 1.5)","normal+(0, 5)",0.663611111111111
"normal(0, 1.5)","normal+(0, 10)",0.449722222222222
"normal(0, 2)","normal+(0, 3)",0.439166666666667
"normal(0, 2)","normal+(0, 5)",0.569166666666667
"normal(0, 2)","normal+(0, 10)",0.471388888888889
"normal(0, 1)","normal+(0, 3)",0.493055555555556
"normal(0, 1)","normal+(0, 5)",0.464444444444444
"normal(0, 1)","normal+(0, 10)",0.515555555555556
"normal(0, 1.5)","normal+(0, 3)",0.491666666666667
"normal(0, 1.5)","normal+(0, 5)",0.585
"normal(0, 1.5)","normal+(0, 10)",0.496666666666667
"normal(0, 2)","normal+(0, 3)",0.697777777777778
"normal(0, 2)","normal+(0, 5)",0.437222222222222
"normal(0, 2)","normal+(0, 10)",0.411388888888889
"normal(0, 1)","normal+(0, 3)",0.411111111111111
"normal(0, 1)","normal+(0, 5)",0.258333333333333
"normal(0, 1)","normal+(0, 10)",0.548888888888889
"normal(0, 1.5)","normal+(0, 3)",0.440277777777778
"normal(0, 1.5)","normal+(0, 5)",0.502777777777778
"normal(0, 1.5)","normal+(0, 10)",0.537777777777778
"normal(0, 2)","normal+(0, 3)",0.569444444444444
"normal(0, 2)","normal+(0, 5)",0.5675
"normal(0, 2)","normal+(0, 10)",0.579166666666667
"normal(0, 1)","normal+(0, 3)",0.346666666666667
"normal(0, 1)","normal+(0, 5)",0.679722222222222
"normal(0, 1)","normal+(0, 10)",0.485555555555556
"normal(0, 1.5)","normal+(0, 3)",0.319166666666667
"normal(0, 1.5)","normal+(0, 5)",0.494166666666667
"normal(0, 1.5)","normal+(0, 10)",0.533888888888889
"normal(0, 2)","normal+(0, 3)",0.533888888888889
"normal(0, 2)","normal+(0, 5)",0.708888888888889
"normal(0, 2)","normal+(0, 10)",0.159722222222222
"normal(0, 1)","normal+(0, 3)",0.713888888888889
"normal(0, 1)","normal+(0, 5)",0.295833333333333
"normal(0, 1)","normal+(0, 10)",0.557777777777778
"normal(0, 1.5)","normal+(0, 3)",0.442222222222222
"normal(0, 1.5)","normal+(0, 5)",0.504166666666667
"normal(0, 1.5)","normal+(0, 10)",0.425555555555556
"normal(0, 2)","normal+(0, 3)",0.462777777777778
"normal(0, 2)","normal+(0, 5)",0.579166666666667
"normal(0, 2)","normal+(0, 10)",0.548611111111111
"normal(0, 1)","normal+(0, 3)",0.395
"normal(0, 1)","normal+(0, 5)",0.418888888888889
"normal(0, 1)","normal+(0, 10)",0.550277777777778
"normal(0, 1.5)","normal+(0, 3)",0.508055555555556
"normal(0, 1.5)","normal+(0, 5)",0.496111111111111
"normal(0, 1.5)","normal+(0, 10)",0.592222222222222
"normal(0, 2)","normal+(0, 3)",0.511111111111111
"normal(0, 2)","normal+(0, 5)",0.573333333333333
"normal(0, 2)","normal+(0, 10)",0.410555555555556
"normal(0, 1)","normal+(0, 3)",0.559444444444444
"normal(0, 1)","normal+(0, 5)",0.536666666666667
"normal(0, 1)","normal+(0, 10)",0.508055555555556
"normal(0, 1.5)","normal+(0, 3)",0.536388888888889
"normal(0, 1.5)","normal+(0, 5)",0.461666666666667
"normal(0, 1.5)","normal+(0, 10)",0.512222222222222
"normal(0, 2)","normal+(0, 3)",0.543611111111111
"normal(0, 2)","normal+(0, 5)",0.491944444444444
"normal(0, 2)","normal+(0, 10)",0.576944444444444
"normal(0, 1)","normal+(0, 3)",0.420277777777778
"normal(0, 1)","normal+(0, 5)",0.482777777777778
"normal(0, 1)","normal+(0, 10)",0.503333333333333
"normal(0, 1.5)","normal+(0, 3)",0.894444444444444
"normal(0, 1.5)","normal+(0, 5)",0.481111111111111
"normal(0, 1.5)","normal+(0, 10)",0.554166666666667
"normal(0, 2)","normal+(0, 3)",0.513611111111111
"normal(0, 2)","normal+(0, 5)",0.5375
"normal(0, 2)","normal+(0, 10)",0.475
"normal(0, 1)","normal+(0, 3)",0.395833333333333
"normal(0, 1)","normal+(0, 5)",0.650277777777778
"normal(0, 1)","normal+(0, 10)",0.485277777777778
"normal(0, 1.5)","normal+(0, 3)",0.298055555555556
"normal(0, 1.5)","normal+(0, 5)",0.422777777777778
"normal(0, 1.5)","normal+(0, 10)",0.473333333333333
"normal(0, 2)","normal+(0, 3)",0.510833333333333
"normal(0, 2)","normal+(0, 5)",0.469166666666667
"normal(0, 2)","normal+(0, 10)",0.396388888888889
"normal(0, 1)","normal+(0, 3)",0.383055555555556
"normal(0, 1)","normal+(0, 5)",0.409166666666667
"normal(0, 1)","normal+(0, 10)",0.54
"normal(0, 1.5)","normal+(0, 3)",0.2925
"normal(0, 1.5)","normal+(0, 5)",0.444444444444444
"normal(0, 1.5)","normal+(0, 10)",0.558888888888889
"normal(0, 2)","normal+(0, 3)",0.510277777777778
"normal(0, 2)","normal+(0, 5)",0.566944444444444
"normal(0, 2)","normal+(0, 10)",0.427222222222222
"normal(0, 1)","normal+(0, 3)",0.541666666666667
"normal(0, 1)","normal+(0, 5)",0.733888888888889
"normal(0, 1)","normal+(0, 10)",0.398333333333333
"normal(0, 1.5)","normal+(0, 3)",0.910277777777778
"normal(0, 1.5)","normal+(0, 5)",0.519722222222222
"normal(0, 1.5)","normal+(0, 10)",0.592777777777778
"normal(0, 2)","normal+(0, 3)",0.519722222222222
"normal(0, 2)","normal+(0, 5)",0.3275
"normal(0, 2)","normal+(0, 10)",0.348333333333333
"normal(0, 1)","normal+(0, 3)",0.143055555555556
"normal(0, 1)","normal+(0, 5)",0.469166666666667
"normal(0, 1)","normal+(0, 10)",0.623611111111111
"normal(0, 1.5)","normal+(0, 3)",0.208611111111111
"normal(0, 1.5)","normal+(0, 5)",0.426388888888889
"normal(0, 1.5)","normal+(0, 10)",0.516111111111111
"normal(0, 2)","normal+(0, 3)",0.6075
"normal(0, 2)","normal+(0, 5)",0.515277777777778
"normal(0, 2)","normal+(0, 10)",0.540833333333333
"normal(0, 1)","normal+(0, 3)",0.516388888888889
"normal(0, 1)","normal+(0, 5)",0.405277777777778
"normal(0, 1)","normal+(0, 10)",0.405833333333333
"normal(0, 1.5)","normal+(0, 3)",0.795277777777778
"normal(0, 1.5)","normal+(0, 5)",0.592777777777778
"normal(0, 1.5)","normal+(0, 10)",0.500555555555556
"normal(0, 2)","normal+(0, 3)",0.611666666666667
"normal(0, 2)","normal+(0, 5)",0.478333333333333
"normal(0, 2)","normal+(0, 10)",0.464444444444444
"normal(0, 1)","normal+(0, 3)",0.487222222222222
"normal(0, 1)","normal+(0, 5)",0.524722222222222
"normal(0, 1)","normal+(0, 10)",0.539444444444444
"normal(0, 1.5)","normal+(0, 3)",0.814166666666667
"normal(0, 1.5)","normal+(0, 5)",0.486944444444444
"normal(0, 1.5)","normal+(0, 10)",0.518611111111111
"normal(0, 2)","normal+(0, 3)",0.530833333333333
"normal(0, 2)","normal+(0, 5)",0.476944444444444
"normal(0, 2)","normal+(0, 10)",0.480555555555556
"normal(0, 1)","normal+(0, 3)",0.474166666666667
"normal(0, 1)","normal+(0, 5)",0.434722222222222
"normal(0, 1)","normal+(0, 10)",0.328888888888889
"normal(0, 1.5)","normal+(0, 3)",0.152777777777778
"normal(0, 1.5)","normal+(0, 5)",0.588888888888889
"normal(0, 1.5)","normal+(0, 10)",0.481666666666667
"normal(0, 2)","normal+(0, 3)",0.391666666666667
"normal(0, 2)","normal+(0, 5)",0.4475
"normal(0, 2)","normal+(0, 10)",0.453611111111111
"normal(0, 1)","normal+(0, 3)",0.529444444444444
"normal(0, 1)","normal+(0, 5)",0.538611111111111
"normal(0, 1)","normal+(0, 10)",0.554722222222222
"normal(0, 1.5)","normal+(0, 3)",0.797777777777778
"normal(0, 1.5)","normal+(0, 5)",0.500277777777778
"normal(0, 1.5)","normal+(0, 10)",0.548055555555556
"normal(0, 2)","normal+(0, 3)",0.608888888888889
"normal(0, 2)","normal+(0, 5)",0.403055555555556
"normal(0, 2)","normal+(0, 10)",0.417222222222222
"normal(0, 1)","normal+(0, 3)",0.447222222222222
"normal(0, 1)","normal+(0, 5)",0.500277777777778
"normal(0, 1)","normal+(0, 10)",0.466944444444444
"normal(0, 1.5)","normal+(0, 3)",0.1075
"normal(0, 1.5)","normal+(0, 5)",0.586944444444444
"normal(0, 1.5)","normal+(0, 10)",0.433055555555556
"normal(0, 2)","normal+(0, 3)",0.3975
"normal(0, 2)","normal+(0, 5)",0.573611111111111
"normal(0, 2)","normal+(0, 10)",0.481944444444444
"normal(0, 1)","normal+(0, 3)",0.640277777777778
"normal(0, 1)","normal+(0, 5)",0.459722222222222
"normal(0, 1)","normal+(0, 10)",0.547222222222222
"normal(0, 1.5)","normal+(0, 3)",0.933888888888889
"normal(0, 1.5)","normal+(0, 5)",0.551944444444444
"normal(0, 1.5)","normal+(0, 10)",0.543888888888889
"normal(0, 2)","normal+(0, 3)",0.386944444444444
"normal(0, 2)","normal+(0, 5)",0.537777777777778
"normal(0, 2)","normal+(0, 10)",0.453333333333333
"normal(0, 1)","normal+(0, 3)",0.3925
"normal(0, 1)","normal+(0, 5)",0.572777777777778
"normal(0, 1)","normal+(0, 10)",0.289722222222222
"normal(0, 1.5)","normal+(0, 3)",0.104444444444444
"normal(0, 1.5)","normal+(0, 5)",0.448055555555556
"normal(0, 1.5)","normal+(0, 10)",0.441111111111111
"normal(0, 2)","normal+(0, 3)",0.7725
"normal(0, 2)","normal+(0, 5)",0.456944444444444
"normal(0, 2)","normal+(0, 10)",0.503888888888889
"normal(0, 1)","normal+(0, 3)",0.577222222222222
"normal(0, 1)","normal+(0, 5)",0.551944444444444
"normal(0, 1)","normal+(0, 10)",0.651666666666667
"normal(0, 1.5)","normal+(0, 3)",0.819444444444444
"normal(0, 1.5)","normal+(0, 5)",0.490555555555556
"normal(0, 1.5)","normal+(0, 10)",0.5225
"normal(0, 2)","normal+(0, 3)",0.769166666666667
"normal(0, 2)","normal+(0, 5)",0.555
"normal(0, 2)","normal+(0, 10)",0.542777777777778
"normal(0, 1)","normal+(0, 3)",0.394722222222222
"normal(0, 1)","normal+(0, 5)",0.562777777777778
"normal(0, 1)","normal+(0, 10)",0.573888888888889
"normal(0, 1.5)","normal+(0, 3)",0.146111111111111
"normal(0, 1.5)","normal+(0, 5)",0.475555555555556
"normal(0, 1.5)","normal+(0, 10)",0.322222222222222
"normal(0, 2)","normal+(0, 3)",0.776666666666667
"normal(0, 2)","normal+(0, 5)",0.563333333333333
