"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 1)","normal+(0, 5)",0.685185185185185
"normal(0, 1)","normal+(0, 10)",0.75
"normal(0, 1)","normal+(0, 20)",0.657407407407407
"normal(0, 1.5)","normal+(0, 5)",0.837962962962963
"normal(0, 1.5)","normal+(0, 10)",0.569444444444444
"normal(0, 1.5)","normal+(0, 20)",0.666666666666667
"normal(0, 2)","normal+(0, 5)",0.439814814814815
"normal(0, 2)","normal+(0, 10)",0.518518518518518
"normal(0, 2)","normal+(0, 20)",0.49537037037037
"normal(0, 1)","normal+(0, 5)",0.486111111111111
"normal(0, 1)","normal+(0, 10)",0.12037037037037
"normal(0, 1)","normal+(0, 20)",0.587962962962963
"normal(0, 1.5)","normal+(0, 5)",0.768518518518518
"normal(0, 1.5)","normal+(0, 10)",0.25462962962963
"normal(0, 1.5)","normal+(0, 20)",0.333333333333333
"normal(0, 2)","normal+(0, 5)",0.662037037037037
"normal(0, 2)","normal+(0, 10)",0.574074074074074
"normal(0, 2)","normal+(0, 20)",0.421296296296296
"normal(0, 1)","normal+(0, 5)",0.583333333333333
"normal(0, 1)","normal+(0, 10)",0.819444444444444
"normal(0, 1)","normal+(0, 20)",0.509259259259259
"normal(0, 1.5)","normal+(0, 5)",0.949074074074074
"normal(0, 1.5)","normal+(0, 10)",0.37037037037037
"normal(0, 1.5)","normal+(0, 20)",0.527777777777778
"normal(0, 2)","normal+(0, 5)",0.324074074074074
"normal(0, 2)","normal+(0, 10)",0.486111111111111
"normal(0, 2)","normal+(0, 20)",0.555555555555556
"normal(0, 1)","normal+(0, 5)",0.842592592592593
"normal(0, 1)","normal+(0, 10)",0.763888888888889
"normal(0, 1)","normal+(0, 20)",0.430555555555556
"normal(0, 1.5)","normal+(0, 5)",0.773148148148148
"normal(0, 1.5)","normal+(0, 10)",0.305555555555556
"normal(0, 1.5)","normal+(0, 20)",0.509259259259259
"normal(0, 2)","normal+(0, 5)",0.263888888888889
"normal(0, 2)","normal+(0, 10)",0.402777777777778
"normal(0, 2)","normal+(0, 20)",0.333333333333333
"normal(0, 1)","normal+(0, 5)",0.412037037037037
"normal(0, 1)","normal+(0, 10)",0.481481481481481
"normal(0, 1)","normal+(0, 20)",0.337962962962963
"normal(0, 1.5)","normal+(0, 5)",0.564814814814815
"normal(0, 1.5)","normal+(0, 10)",0.685185185185185
"normal(0, 1.5)","normal+(0, 20)",0.430555555555556
"normal(0, 2)","normal+(0, 5)",0.75462962962963
"normal(0, 2)","normal+(0, 10)",0.574074074074074
"normal(0, 2)","normal+(0, 20)",0.416666666666667
"normal(0, 1)","normal+(0, 5)",0.356481481481481
"normal(0, 1)","normal+(0, 10)",0.666666666666667
"normal(0, 1)","normal+(0, 20)",0.518518518518518
"normal(0, 1.5)","normal+(0, 5)",0.662037037037037
"normal(0, 1.5)","normal+(0, 10)",0.666666666666667
"normal(0, 1.5)","normal+(0, 20)",0.564814814814815
"normal(0, 2)","normal+(0, 5)",0.546296296296296
"normal(0, 2)","normal+(0, 10)",0.472222222222222
"normal(0, 2)","normal+(0, 20)",0.472222222222222
"normal(0, 1)","normal+(0, 5)",0.268518518518519
"normal(0, 1)","normal+(0, 10)",0.333333333333333
"normal(0, 1)","normal+(0, 20)",0.606481481481482
"normal(0, 1.5)","normal+(0, 5)",0.388888888888889
"normal(0, 1.5)","normal+(0, 10)",0.666666666666667
"normal(0, 1.5)","normal+(0, 20)",0.509259259259259
"normal(0, 2)","normal+(0, 5)",0.50462962962963
"normal(0, 2)","normal+(0, 10)",0.486111111111111
"normal(0, 2)","normal+(0, 20)",0.597222222222222
"normal(0, 1)","normal+(0, 5)",0.578703703703704
"normal(0, 1)","normal+(0, 10)",0.194444444444444
"normal(0, 1)","normal+(0, 20)",0.537037037037037
"normal(0, 1.5)","normal+(0, 5)",0.671296296296296
"normal(0, 1.5)","normal+(0, 10)",0.671296296296296
"normal(0, 1.5)","normal+(0, 20)",0.50462962962963
"normal(0, 2)","normal+(0, 5)",0.486111111111111
"normal(0, 2)","normal+(0, 10)",0.62037037037037
"normal(0, 2)","normal+(0, 20)",0.490740740740741
"normal(0, 1)","normal+(0, 5)",0.546296296296296
"normal(0, 1)","normal+(0, 10)",0.532407407407407
"normal(0, 1)","normal+(0, 20)",0.625
"normal(0, 1.5)","normal+(0, 5)",0.324074074074074
"normal(0, 1.5)","normal+(0, 10)",0.717592592592593
